split,value,class_id,class_name,source_image,source_label,crop_path,source_width,source_height,crop_width,crop_height
test,5,48,speed-limit-5,test/images/000_0035_png.rf.48c426cfe0b2ec1164098dd35776040e.jpg,test/labels/000_0035_png.rf.48c426cfe0b2ec1164098dd35776040e.txt,crops/test/5/000_0035_png.rf.48c426cfe0b2ec1164098dd35776040e__box0.jpg,640,564,426,426
test,5,48,speed-limit-5,test/images/000_0039_png.rf.84690894bf7c0cca16fd3034a4a04980.jpg,test/labels/000_0039_png.rf.84690894bf7c0cca16fd3034a4a04980.txt,crops/test/5/000_0039_png.rf.84690894bf7c0cca16fd3034a4a04980__box0.jpg,640,550,370,370
test,5,48,speed-limit-5,test/images/000_0050_png.rf.c75a0f4f72c6beee8ff04ad9615c5038.jpg,test/labels/000_0050_png.rf.c75a0f4f72c6beee8ff04ad9615c5038.txt,crops/test/5/000_0050_png.rf.c75a0f4f72c6beee8ff04ad9615c5038__box0.jpg,640,564,481,481
test,5,48,speed-limit-5,test/images/000_0057_png.rf.0007976fb733ee44793c299ba67931c9.jpg,test/labels/000_0057_png.rf.0007976fb733ee44793c299ba67931c9.txt,crops/test/5/000_0057_png.rf.0007976fb733ee44793c299ba67931c9__box0.jpg,640,640,423,423
test,15,45,speed-limit-15,test/images/001_0018_png.rf.740cc7e721a77836c09e5d94c082f254.jpg,test/labels/001_0018_png.rf.740cc7e721a77836c09e5d94c082f254.txt,crops/test/15/001_0018_png.rf.740cc7e721a77836c09e5d94c082f254__box0.jpg,634,640,524,524
test,40,47,speed-limit-40,test/images/003_0017_j_png.rf.4dcff3162a35d03343a616f3f33021f0.jpg,test/labels/003_0017_j_png.rf.4dcff3162a35d03343a616f3f33021f0.txt,crops/test/40/003_0017_j_png.rf.4dcff3162a35d03343a616f3f33021f0__box0.jpg,587,640,542,542
test,50,49,speed-limit-50,test/images/0476_jpg.rf.7b99be9b034c6a3dc542c6c039d933f0.jpg,test/labels/0476_jpg.rf.7b99be9b034c6a3dc542c6c039d933f0.txt,crops/test/50/0476_jpg.rf.7b99be9b034c6a3dc542c6c039d933f0__box0.jpg,640,640,638,638
test,50,49,speed-limit-50,test/images/P1840098_2_jpg.rf.fe1ad5b0688ca74d94fe3fd34e148cf2.jpg,test/labels/P1840098_2_jpg.rf.fe1ad5b0688ca74d94fe3fd34e148cf2.txt,crops/test/50/P1840098_2_jpg.rf.fe1ad5b0688ca74d94fe3fd34e148cf2__box0.jpg,640,640,640,640
test,60,50,speed-limit-60,test/images/P1840154_3_jpg.rf.d4aade3ca53f8a73cefc2957f40688b3.jpg,test/labels/P1840154_3_jpg.rf.d4aade3ca53f8a73cefc2957f40688b3.txt,crops/test/60/P1840154_3_jpg.rf.d4aade3ca53f8a73cefc2957f40688b3__box0.jpg,640,640,640,640
test,5,48,speed-limit-5,test/images/camera_20260824_132335_170305_jpg.rf.f8e7ce31bdf983cc0ca23410e23f314b.jpg,test/labels/camera_20260824_132335_170305_jpg.rf.f8e7ce31bdf983cc0ca23410e23f314b.txt,crops/test/5/camera_20260824_132335_170305_jpg.rf.f8e7ce31bdf983cc0ca23410e23f314b__box0.jpg,640,360,42,42
test,15,45,speed-limit-15,test/images/camera_20260824_132352_728040_jpg.rf.18806b5235809a9372b882c57b166a10.jpg,test/labels/camera_20260824_132352_728040_jpg.rf.18806b5235809a9372b882c57b166a10.txt,crops/test/15/camera_20260824_132352_728040_jpg.rf.18806b5235809a9372b882c57b166a10__box0.jpg,640,360,23,23
test,30,46,speed-limit-30,test/images/camera_20260824_132437_907194_jpg.rf.01ea8005aea786009d5074f26ea7de0f.jpg,test/labels/camera_20260824_132437_907194_jpg.rf.01ea8005aea786009d5074f26ea7de0f.txt,crops/test/30/camera_20260824_132437_907194_jpg.rf.01ea8005aea786009d5074f26ea7de0f__box0.jpg,640,360,29,29
test,60,50,speed-limit-60,test/images/camera_20260824_132545_540266_jpg.rf.c60b8a4ee4273292142b23896d32cf36.jpg,test/labels/camera_20260824_132545_540266_jpg.rf.c60b8a4ee4273292142b23896d32cf36.txt,crops/test/60/camera_20260824_132545_540266_jpg.rf.c60b8a4ee4273292142b23896d32cf36__box0.jpg,640,360,31,31
test,80,51,speed-limit-80,test/images/camera_20260824_132733_380646_jpg.rf.a67f709335b721398de8e31d8768125f.jpg,test/labels/camera_20260824_132733_380646_jpg.rf.a67f709335b721398de8e31d8768125f.txt,crops/test/80/camera_20260824_132733_380646_jpg.rf.a67f709335b721398de8e31d8768125f__box0.jpg,640,360,58,58
train,30,46,speed-limit-30,train/images/00001_00000_00012_png_jpg.rf.6596eae71db1004a396e72ea745bd7bf.jpg,train/labels/00001_00000_00012_png_jpg.rf.6596eae71db1004a396e72ea745bd7bf.txt,crops/train/30/00001_00000_00012_png_jpg.rf.6596eae71db1004a396e72ea745bd7bf__box0.jpg,640,640,640,640
train,30,46,speed-limit-30,train/images/00001_00000_00013_png_jpg.rf.94943dd8f7517acdfa2eb206128644da.jpg,train/labels/00001_00000_00013_png_jpg.rf.94943dd8f7517acdfa2eb206128644da.txt,crops/train/30/00001_00000_00013_png_jpg.rf.94943dd8f7517acdfa2eb206128644da__box0.jpg,640,640,621,621
train,30,46,speed-limit-30,train/images/00001_00000_00024_png_jpg.rf.e7d3749df2af84cdbe3acd9465005c70.jpg,train/labels/00001_00000_00024_png_jpg.rf.e7d3749df2af84cdbe3acd9465005c70.txt,crops/train/30/00001_00000_00024_png_jpg.rf.e7d3749df2af84cdbe3acd9465005c70__box0.jpg,633,640,624,624
train,30,46,speed-limit-30,train/images/00001_00000_00025_png_jpg.rf.e599ab3e425d1356114ae158f14a311f.jpg,train/labels/00001_00000_00025_png_jpg.rf.e599ab3e425d1356114ae158f14a311f.txt,crops/train/30/00001_00000_00025_png_jpg.rf.e599ab3e425d1356114ae158f14a311f__box0.jpg,640,633,634,634
train,30,46,speed-limit-30,train/images/00001_00016_00009_png_jpg.rf.402775eabda9bf6178de17585cd8f35d.jpg,train/labels/00001_00016_00009_png_jpg.rf.402775eabda9bf6178de17585cd8f35d.txt,crops/train/30/00001_00016_00009_png_jpg.rf.402775eabda9bf6178de17585cd8f35d__box0.jpg,608,640,562,562
train,30,46,speed-limit-30,train/images/00001_00016_00011_png_jpg.rf.3c85c8858af03b05b9fba2c09679c29e.jpg,train/labels/00001_00016_00011_png_jpg.rf.3c85c8858af03b05b9fba2c09679c29e.txt,crops/train/30/00001_00016_00011_png_jpg.rf.3c85c8858af03b05b9fba2c09679c29e__box0.jpg,640,624,582,582
train,30,46,speed-limit-30,train/images/00001_00016_00021_png_jpg.rf.42285cc104ee248bbd937c60b871aa2d.jpg,train/labels/00001_00016_00021_png_jpg.rf.42285cc104ee248bbd937c60b871aa2d.txt,crops/train/30/00001_00016_00021_png_jpg.rf.42285cc104ee248bbd937c60b871aa2d__box0.jpg,628,640,636,636
train,30,46,speed-limit-30,train/images/00001_00016_00022_png_jpg.rf.3ccb33340f01e922992addd0be2819cb.jpg,train/labels/00001_00016_00022_png_jpg.rf.3ccb33340f01e922992addd0be2819cb.txt,crops/train/30/00001_00016_00022_png_jpg.rf.3ccb33340f01e922992addd0be2819cb__box0.jpg,640,629,640,640
train,30,46,speed-limit-30,train/images/00001_00016_00023_png_jpg.rf.39242827838da52597567c8be65d4f36.jpg,train/labels/00001_00016_00023_png_jpg.rf.39242827838da52597567c8be65d4f36.txt,crops/train/30/00001_00016_00023_png_jpg.rf.39242827838da52597567c8be65d4f36__box0.jpg,640,640,639,639
train,30,46,speed-limit-30,train/images/00001_00017_00003_png_jpg.rf.1c59d69fe5f5309fe7d83f1f03fafa84.jpg,train/labels/00001_00017_00003_png_jpg.rf.1c59d69fe5f5309fe7d83f1f03fafa84.txt,crops/train/30/00001_00017_00003_png_jpg.rf.1c59d69fe5f5309fe7d83f1f03fafa84__box0.jpg,622,640,530,530
train,30,46,speed-limit-30,train/images/00001_00017_00004_png_jpg.rf.0222e0b4fb225f000b8181f151137b63.jpg,train/labels/00001_00017_00004_png_jpg.rf.0222e0b4fb225f000b8181f151137b63.txt,crops/train/30/00001_00017_00004_png_jpg.rf.0222e0b4fb225f000b8181f151137b63__box0.jpg,640,640,546,546
train,30,46,speed-limit-30,train/images/00001_00017_00015_png_jpg.rf.4c7b5563e0d8b32d8277086ba86b2b63.jpg,train/labels/00001_00017_00015_png_jpg.rf.4c7b5563e0d8b32d8277086ba86b2b63.txt,crops/train/30/00001_00017_00015_png_jpg.rf.4c7b5563e0d8b32d8277086ba86b2b63__box0.jpg,626,640,588,588
train,30,46,speed-limit-30,train/images/00001_00017_00016_png_jpg.rf.e0353ee9a6b11f56a8adf84d992ca191.jpg,train/labels/00001_00017_00016_png_jpg.rf.e0353ee9a6b11f56a8adf84d992ca191.txt,crops/train/30/00001_00017_00016_png_jpg.rf.e0353ee9a6b11f56a8adf84d992ca191__box0.jpg,613,640,580,580
train,30,46,speed-limit-30,train/images/00001_00023_00018_png_jpg.rf.b97a83f82f6857b429051445bf311d54.jpg,train/labels/00001_00023_00018_png_jpg.rf.b97a83f82f6857b429051445bf311d54.txt,crops/train/30/00001_00023_00018_png_jpg.rf.b97a83f82f6857b429051445bf311d54__box0.jpg,640,608,504,504
train,30,46,speed-limit-30,train/images/00001_00023_00020_png_jpg.rf.dcf343b8aed678a9663554d930d4c989.jpg,train/labels/00001_00023_00020_png_jpg.rf.dcf343b8aed678a9663554d930d4c989.txt,crops/train/30/00001_00023_00020_png_jpg.rf.dcf343b8aed678a9663554d930d4c989__box0.jpg,640,594,530,530
train,30,46,speed-limit-30,train/images/00001_00024_00000_png_jpg.rf.aff3fc70ebb5648e81338d90a29bacac.jpg,train/labels/00001_00024_00000_png_jpg.rf.aff3fc70ebb5648e81338d90a29bacac.txt,crops/train/30/00001_00024_00000_png_jpg.rf.aff3fc70ebb5648e81338d90a29bacac__box0.jpg,571,640,398,398
train,30,46,speed-limit-30,train/images/00001_00024_00001_png_jpg.rf.29df0e69b1cb25f67662cd98f3fd49f8.jpg,train/labels/00001_00024_00001_png_jpg.rf.29df0e69b1cb25f67662cd98f3fd49f8.txt,crops/train/30/00001_00024_00001_png_jpg.rf.29df0e69b1cb25f67662cd98f3fd49f8__box0.jpg,617,640,398,398
train,30,46,speed-limit-30,train/images/00001_00024_00002_png_jpg.rf.e8a8d1a1b42e5da4e68ac28be79cc7eb.jpg,train/labels/00001_00024_00002_png_jpg.rf.e8a8d1a1b42e5da4e68ac28be79cc7eb.txt,crops/train/30/00001_00024_00002_png_jpg.rf.e8a8d1a1b42e5da4e68ac28be79cc7eb__box0.jpg,595,640,412,412
train,30,46,speed-limit-30,train/images/00001_00024_00012_png_jpg.rf.90ff78cbe9973bd948d0521a3e531dda.jpg,train/labels/00001_00024_00012_png_jpg.rf.90ff78cbe9973bd948d0521a3e531dda.txt,crops/train/30/00001_00024_00012_png_jpg.rf.90ff78cbe9973bd948d0521a3e531dda__box0.jpg,640,594,483,483
train,30,46,speed-limit-30,train/images/00001_00024_00014_png_jpg.rf.de72c39faaa688c0684d0b957df8e3e8.jpg,train/labels/00001_00024_00014_png_jpg.rf.de72c39faaa688c0684d0b957df8e3e8.txt,crops/train/30/00001_00024_00014_png_jpg.rf.de72c39faaa688c0684d0b957df8e3e8__box0.jpg,640,640,540,540
train,30,46,speed-limit-30,train/images/00001_00032_00021_png_jpg.rf.709d27c06dbd68744dad87a4a5514377.jpg,train/labels/00001_00032_00021_png_jpg.rf.709d27c06dbd68744dad87a4a5514377.txt,crops/train/30/00001_00032_00021_png_jpg.rf.709d27c06dbd68744dad87a4a5514377__box0.jpg,620,640,620,620
train,30,46,speed-limit-30,train/images/00001_00032_00022_png_jpg.rf.c553007107c69b0cb2fd61a1f6758da5.jpg,train/labels/00001_00032_00022_png_jpg.rf.c553007107c69b0cb2fd61a1f6758da5.txt,crops/train/30/00001_00032_00022_png_jpg.rf.c553007107c69b0cb2fd61a1f6758da5__box0.jpg,630,640,587,587
train,30,46,speed-limit-30,train/images/00001_00032_00023_png_jpg.rf.9deb8b0c3181a4a2592469d1bbe73fc3.jpg,train/labels/00001_00032_00023_png_jpg.rf.9deb8b0c3181a4a2592469d1bbe73fc3.txt,crops/train/30/00001_00032_00023_png_jpg.rf.9deb8b0c3181a4a2592469d1bbe73fc3__box0.jpg,622,640,588,588
train,30,46,speed-limit-30,train/images/00001_00033_00003_png_jpg.rf.3630e0ea2a421bdb7428e68efe8fc545.jpg,train/labels/00001_00033_00003_png_jpg.rf.3630e0ea2a421bdb7428e68efe8fc545.txt,crops/train/30/00001_00033_00003_png_jpg.rf.3630e0ea2a421bdb7428e68efe8fc545__box0.jpg,640,640,450,450
train,30,46,speed-limit-30,train/images/00001_00033_00004_png_jpg.rf.5fd1d2aad5ee5e92b9355d6114d403fb.jpg,train/labels/00001_00033_00004_png_jpg.rf.5fd1d2aad5ee5e92b9355d6114d403fb.txt,crops/train/30/00001_00033_00004_png_jpg.rf.5fd1d2aad5ee5e92b9355d6114d403fb__box0.jpg,640,619,512,512
train,30,46,speed-limit-30,train/images/00001_00033_00005_png_jpg.rf.fb18606598f736a67b3ea356581d1e8f.jpg,train/labels/00001_00033_00005_png_jpg.rf.fb18606598f736a67b3ea356581d1e8f.txt,crops/train/30/00001_00033_00005_png_jpg.rf.fb18606598f736a67b3ea356581d1e8f__box0.jpg,601,640,482,482
train,30,46,speed-limit-30,train/images/00001_00033_00015_png_jpg.rf.a260eec558c3be25c99d61d89b5219b9.jpg,train/labels/00001_00033_00015_png_jpg.rf.a260eec558c3be25c99d61d89b5219b9.txt,crops/train/30/00001_00033_00015_png_jpg.rf.a260eec558c3be25c99d61d89b5219b9__box0.jpg,640,640,536,536
train,30,46,speed-limit-30,train/images/00001_00033_00016_png_jpg.rf.65ff059b246fb21e8b49b58ec52bdb29.jpg,train/labels/00001_00033_00016_png_jpg.rf.65ff059b246fb21e8b49b58ec52bdb29.txt,crops/train/30/00001_00033_00016_png_jpg.rf.65ff059b246fb21e8b49b58ec52bdb29__box0.jpg,640,640,543,543
train,30,46,speed-limit-30,train/images/00001_00033_00017_png_jpg.rf.010ea96fb013d64bdd542349a41a3eb9.jpg,train/labels/00001_00033_00017_png_jpg.rf.010ea96fb013d64bdd542349a41a3eb9.txt,crops/train/30/00001_00033_00017_png_jpg.rf.010ea96fb013d64bdd542349a41a3eb9__box0.jpg,640,640,530,530
train,30,46,speed-limit-30,train/images/00001_00033_00027_png_jpg.rf.8c7af7d7f2dad87ef1bfbb9246ed6938.jpg,train/labels/00001_00033_00027_png_jpg.rf.8c7af7d7f2dad87ef1bfbb9246ed6938.txt,crops/train/30/00001_00033_00027_png_jpg.rf.8c7af7d7f2dad87ef1bfbb9246ed6938__box0.jpg,640,602,611,611
train,30,46,speed-limit-30,train/images/00001_00033_00028_png_jpg.rf.129ade68dd71d77eed1a83094567f982.jpg,train/labels/00001_00033_00028_png_jpg.rf.129ade68dd71d77eed1a83094567f982.txt,crops/train/30/00001_00033_00028_png_jpg.rf.129ade68dd71d77eed1a83094567f982__box0.jpg,640,613,585,585
train,30,46,speed-limit-30,train/images/00001_00033_00029_png_jpg.rf.5d190438ccf6413538ee6c53636f667f.jpg,train/labels/00001_00033_00029_png_jpg.rf.5d190438ccf6413538ee6c53636f667f.txt,crops/train/30/00001_00033_00029_png_jpg.rf.5d190438ccf6413538ee6c53636f667f__box0.jpg,640,640,631,631
train,30,46,speed-limit-30,train/images/00001_00042_00015_png_jpg.rf.84c67d9198256e68e4eec4011a388ad0.jpg,train/labels/00001_00042_00015_png_jpg.rf.84c67d9198256e68e4eec4011a388ad0.txt,crops/train/30/00001_00042_00015_png_jpg.rf.84c67d9198256e68e4eec4011a388ad0__box0.jpg,640,640,600,600
train,30,46,speed-limit-30,train/images/00001_00042_00016_png_jpg.rf.60a7883394979caa4cf676894c2c8a51.jpg,train/labels/00001_00042_00016_png_jpg.rf.60a7883394979caa4cf676894c2c8a51.txt,crops/train/30/00001_00042_00016_png_jpg.rf.60a7883394979caa4cf676894c2c8a51__box0.jpg,614,640,604,604
train,30,46,speed-limit-30,train/images/00001_00042_00017_png_jpg.rf.90c89ab2473d3dc5ecb10768b7cae2a9.jpg,train/labels/00001_00042_00017_png_jpg.rf.90c89ab2473d3dc5ecb10768b7cae2a9.txt,crops/train/30/00001_00042_00017_png_jpg.rf.90c89ab2473d3dc5ecb10768b7cae2a9__box0.jpg,627,640,592,592
train,30,46,speed-limit-30,train/images/00001_00042_00027_png_jpg.rf.34821917e86d3cfd3ad82ad6cefc0afb.jpg,train/labels/00001_00042_00027_png_jpg.rf.34821917e86d3cfd3ad82ad6cefc0afb.txt,crops/train/30/00001_00042_00027_png_jpg.rf.34821917e86d3cfd3ad82ad6cefc0afb__box0.jpg,633,640,633,633
train,30,46,speed-limit-30,train/images/00001_00042_00028_png_jpg.rf.ebda7e1700c19b54620cd73780915dc6.jpg,train/labels/00001_00042_00028_png_jpg.rf.ebda7e1700c19b54620cd73780915dc6.txt,crops/train/30/00001_00042_00028_png_jpg.rf.ebda7e1700c19b54620cd73780915dc6__box0.jpg,633,640,628,628
train,30,46,speed-limit-30,train/images/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577.jpg,train/labels/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577.txt,crops/train/30/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577__box0.jpg,634,640,618,618
train,30,46,speed-limit-30,train/images/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577.jpg,train/labels/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577.txt,crops/train/30/00001_00042_00029_png_jpg.rf.d378b90d3109b6ef5ee8612c11e34577__box1.jpg,634,640,626,626
train,30,46,speed-limit-30,train/images/00001_00043_00009_png_jpg.rf.bd02af1965677177a86730a7ce84cca5.jpg,train/labels/00001_00043_00009_png_jpg.rf.bd02af1965677177a86730a7ce84cca5.txt,crops/train/30/00001_00043_00009_png_jpg.rf.bd02af1965677177a86730a7ce84cca5__box0.jpg,626,640,508,508
train,30,46,speed-limit-30,train/images/00001_00043_00010_png_jpg.rf.3867b7ce2a7d0b7c74e641ee020cf855.jpg,train/labels/00001_00043_00010_png_jpg.rf.3867b7ce2a7d0b7c74e641ee020cf855.txt,crops/train/30/00001_00043_00010_png_jpg.rf.3867b7ce2a7d0b7c74e641ee020cf855__box0.jpg,640,626,525,525
train,30,46,speed-limit-30,train/images/00001_00043_00011_png_jpg.rf.8ab4cb3dffaee59e0aa39d33cbb0f4b8.jpg,train/labels/00001_00043_00011_png_jpg.rf.8ab4cb3dffaee59e0aa39d33cbb0f4b8.txt,crops/train/30/00001_00043_00011_png_jpg.rf.8ab4cb3dffaee59e0aa39d33cbb0f4b8__box0.jpg,640,640,530,530
train,30,46,speed-limit-30,train/images/00001_00059_00026_png_jpg.rf.faa17eec3d1ebadd1923ac45ff7c4bd3.jpg,train/labels/00001_00059_00026_png_jpg.rf.faa17eec3d1ebadd1923ac45ff7c4bd3.txt,crops/train/30/00001_00059_00026_png_jpg.rf.faa17eec3d1ebadd1923ac45ff7c4bd3__box0.jpg,612,640,637,637
train,30,46,speed-limit-30,train/images/00001_00060_00009_png_jpg.rf.c8eb28b920a3a1f53b2c0b4fc4172fb8.jpg,train/labels/00001_00060_00009_png_jpg.rf.c8eb28b920a3a1f53b2c0b4fc4172fb8.txt,crops/train/30/00001_00060_00009_png_jpg.rf.c8eb28b920a3a1f53b2c0b4fc4172fb8__box0.jpg,640,624,596,596
train,30,46,speed-limit-30,train/images/00001_00060_00010_png_jpg.rf.75dbf6dfb935bb508dff263c600c4932.jpg,train/labels/00001_00060_00010_png_jpg.rf.75dbf6dfb935bb508dff263c600c4932.txt,crops/train/30/00001_00060_00010_png_jpg.rf.75dbf6dfb935bb508dff263c600c4932__box0.jpg,640,624,601,601
train,30,46,speed-limit-30,train/images/00001_00060_00011_png_jpg.rf.e1675a3929001ba59ffea47818a0e9d6.jpg,train/labels/00001_00060_00011_png_jpg.rf.e1675a3929001ba59ffea47818a0e9d6.txt,crops/train/30/00001_00060_00011_png_jpg.rf.e1675a3929001ba59ffea47818a0e9d6__box0.jpg,640,610,592,592
train,30,46,speed-limit-30,train/images/00001_00060_00021_png_jpg.rf.7f040bc6c8485ea7bd1f781e0a264afe.jpg,train/labels/00001_00060_00021_png_jpg.rf.7f040bc6c8485ea7bd1f781e0a264afe.txt,crops/train/30/00001_00060_00021_png_jpg.rf.7f040bc6c8485ea7bd1f781e0a264afe__box0.jpg,628,640,629,629
train,30,46,speed-limit-30,train/images/00001_00060_00022_png_jpg.rf.87d64081cf2adc93fc1b3dc0ff811810.jpg,train/labels/00001_00060_00022_png_jpg.rf.87d64081cf2adc93fc1b3dc0ff811810.txt,crops/train/30/00001_00060_00022_png_jpg.rf.87d64081cf2adc93fc1b3dc0ff811810__box0.jpg,629,640,629,629
train,30,46,speed-limit-30,train/images/00001_00060_00023_png_jpg.rf.32d55ce69f87e8f40cc54104573c9afe.jpg,train/labels/00001_00060_00023_png_jpg.rf.32d55ce69f87e8f40cc54104573c9afe.txt,crops/train/30/00001_00060_00023_png_jpg.rf.32d55ce69f87e8f40cc54104573c9afe__box0.jpg,640,640,640,640
train,30,46,speed-limit-30,train/images/00001_00061_00003_png_jpg.rf.ca201a5e40019a6310fa7abce6ae19aa.jpg,train/labels/00001_00061_00003_png_jpg.rf.ca201a5e40019a6310fa7abce6ae19aa.txt,crops/train/30/00001_00061_00003_png_jpg.rf.ca201a5e40019a6310fa7abce6ae19aa__box0.jpg,621,640,522,522
train,30,46,speed-limit-30,train/images/00001_00061_00004_png_jpg.rf.523f90c9396785bf0d55b66ba73b76f5.jpg,train/labels/00001_00061_00004_png_jpg.rf.523f90c9396785bf0d55b66ba73b76f5.txt,crops/train/30/00001_00061_00004_png_jpg.rf.523f90c9396785bf0d55b66ba73b76f5__box0.jpg,603,640,568,568
train,30,46,speed-limit-30,train/images/00001_00061_00005_png_jpg.rf.cb8324cda36c5fbcefbe167908d0b83b.jpg,train/labels/00001_00061_00005_png_jpg.rf.cb8324cda36c5fbcefbe167908d0b83b.txt,crops/train/30/00001_00061_00005_png_jpg.rf.cb8324cda36c5fbcefbe167908d0b83b__box0.jpg,622,640,552,552
train,30,46,speed-limit-30,train/images/00001_00061_00015_png_jpg.rf.c98bbfacd91b77c71a5ef1828d6f8c46.jpg,train/labels/00001_00061_00015_png_jpg.rf.c98bbfacd91b77c71a5ef1828d6f8c46.txt,crops/train/30/00001_00061_00015_png_jpg.rf.c98bbfacd91b77c71a5ef1828d6f8c46__box0.jpg,624,640,587,587
train,30,46,speed-limit-30,train/images/00001_00061_00016_png_jpg.rf.11a267a441344c46ef69dc96cffafe46.jpg,train/labels/00001_00061_00016_png_jpg.rf.11a267a441344c46ef69dc96cffafe46.txt,crops/train/30/00001_00061_00016_png_jpg.rf.11a267a441344c46ef69dc96cffafe46__box0.jpg,596,640,605,605
train,30,46,speed-limit-30,train/images/00001_00061_00017_png_jpg.rf.3ba508c4386956fb539254a5f44b8996.jpg,train/labels/00001_00061_00017_png_jpg.rf.3ba508c4386956fb539254a5f44b8996.txt,crops/train/30/00001_00061_00017_png_jpg.rf.3ba508c4386956fb539254a5f44b8996__box0.jpg,583,640,600,600
train,30,46,speed-limit-30,train/images/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17.jpg,train/labels/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17.txt,crops/train/30/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17__box0.jpg,608,640,608,608
train,30,46,speed-limit-30,train/images/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17.jpg,train/labels/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17.txt,crops/train/30/00001_00061_00027_png_jpg.rf.ea4c06d09da58772f85e4149365c8e17__box1.jpg,608,640,640,640
train,30,46,speed-limit-30,train/images/00001_00061_00028_png_jpg.rf.b25aa63f6e5c88d968f45ec2d678d9e3.jpg,train/labels/00001_00061_00028_png_jpg.rf.b25aa63f6e5c88d968f45ec2d678d9e3.txt,crops/train/30/00001_00061_00028_png_jpg.rf.b25aa63f6e5c88d968f45ec2d678d9e3__box0.jpg,629,640,640,640
